ID,Player,Team,Position,Cost,Selection,Form,Points,Minutes,Goals,Assists,Clean_Sheets,Goals_Conceded,Own_Goals,Pen_Saved,Yellow,Reds,Saves,Bonus,Bonus_Syst,Influence,Creativity,Threat,ICT_Index,Dream_Team,Form_Value,Season_Value,PPG
JohnsonWHUDEF,Johnson,WHU,DEF,4.00,0.0130,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
YarmolenkoWHUMID,Yarmolenko,WHU,MID,6.00,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
NobleWHUMID,Noble,WHU,MID,5.00,0.0040,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
FreemanSHUDEF,Freeman,SHU,DEF,4.50,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
StearmanSHUDEF,Stearman,SHU,DEF,4.00,0.0270,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
JagielkaSHUDEF,Jagielka,SHU,DEF,4.50,0.0080,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
DuffySHUMID,Duffy,SHU,MID,5.50,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
MorrisonSHUMID,Morrison,SHU,MID,5.00,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
OsbornSHUMID,Osborn,SHU,MID,5.00,0.0000,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
BesicSHUMID,Besic,SHU,MID,4.50,0.0030,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
MoussetSHUFWD,Mousset,SHU,FWD,5.00,0.0050,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
ForsterSOUGKP,Forster,SOU,GKP,4.50,0.0110,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
McCarthySOUGKP,McCarthy,SOU,GKP,4.50,0.0080,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
YoshidaSOUDEF,Yoshida,SOU,DEF,4.50,0.0040,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
RamsaySOUDEF,Ramsay,SOU,DEF,4.00,0.0130,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
HoedtSOUDEF,Hoedt,SOU,DEF,4.50,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
CedricSOUDEF,Cedric,SOU,DEF,5.00,0.0030,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
ElyounoussiSOUMID,Elyounoussi,SOU,MID,5.50,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
ArmstrongSOUMID,Armstrong,SOU,MID,5.50,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
LeminaSOUMID,Lemina,SOU,MID,5.00,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
JohnsonSOUMID,Johnson,SOU,MID,4.50,0.0000,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
SlatterySOUMID,Slattery,SOU,MID,4.50,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
DjenepoSOUMID,Djenepo,SOU,MID,5.50,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
AustinSOUFWD,Austin,SOU,FWD,6.00,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
LongSOUFWD,Long,SOU,FWD,5.00,0.0560,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
GallagherSOUFWD,Gallagher,SOU,FWD,4.50,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
GazzanigaTOTGKP,Gazzaniga,TOT,GKP,4.50,0.0030,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
DaviesTOTDEF,Davies,TOT,DEF,5.50,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
VertonghenTOTDEF,Vertonghen,TOT,DEF,5.50,0.0350,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
TrippierTOTDEF,Trippier,TOT,DEF,5.50,0.0030,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
FoythTOTDEF,Foyth,TOT,DEF,5.00,0.0000,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
AurierTOTDEF,Aurier,TOT,DEF,5.00,0.0030,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
SonTOTMID,Son,TOT,MID,9.50,0.0110,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
LukakuMUNFWD,Lukaku,MUN,FWD,8.50,0.0070,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
