PlayerID,Player,Team,Position,Cost,Selection,Form,Points,Goals,Assists,Minutes,ICT Index,Bonus,Clean Sheets,Dream Team,Goals Conceded,PPG,Saves,Yellow
KnockaertBHAMID,Knockaert,BHA,MID,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BissoumaBHAMID,Bissouma,BHA,MID,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KayalBHAMID,Kayal,BHA,MID,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
HartBURGKP,Hart,BUR,GKP,4.5,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0
Peacock-FarrellBURGKP,Peacock-Farrell,BUR,GKP,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
BardsleyBURDEF,Bardsley,BUR,DEF,4.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
TaylorBURDEF,Taylor,BUR,DEF,4.4,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0
LongBURDEF,Long,BUR,DEF,4.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
GibsonBURDEF,Gibson,BUR,DEF,4,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0
BradyBURMID,Brady,BUR,MID,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felipe AndersonWHUMID,Felipe Anderson,WHU,MID,6.9,0.057,0.5,1,0,0,65,0.5,0,0,0,2,1,0,1
YarmolenkoWHUMID,Yarmolenko,WHU,MID,5.9,0.002,0.5,1,0,0,13,0.2,0,0,0,0,1,0,0
Carlos SánchezWHUMID,Carlos Sánchez,WHU,MID,4.5,0.004,0.5,1,0,0,7,0,0,0,0,0,1,0,0
SaïssWOLDEF,Saïss,WOL,DEF,4.5,0.003,0.5,1,0,0,9,0.3,0,0,0,0,1,0,0
TraoréWOLMID,Traoré,WOL,MID,5,0.003,0.5,1,0,0,45,2.8,0,0,0,0,1,0,0
NetoWOLMID,Neto,WOL,MID,5,0,0.5,1,0,0,4,0.4,0,0,0,0,1,0,0
