Player,Team,Cost,Selected,Form,Points,PPG,Mins Played,Goals Scored,Own Goals,Assists,Pen Missed,Yellow,Red,Bonus,Influence,Creativity,Threat,ICT Index,Dream Team,Season VL,Form VL
Kompany,MCI,5.2,0.017,7.5,58,3.4,1220,1,0,0,,6,0,294,329,44.2,55,43,2,11.2,1.4
Mariappa,WAT,4.2,0.006,1,57,2.2,1924,0,0,0,,3,0,334,404.6,61.9,79,54.5,0,13.6,0.2
Smalling,MUN,5.6,0.014,0.5,56,2.3,2127,1,1,0,,1,0,335,453.4,31,176,66,1,10,0.1
Bertrand,SOU,4.8,0.024,1.5,56,2.3,2160,1,0,0,,8,0,291,326.8,379.4,123,82.6,0,11.7,0.3
Zabaleta,WHU,4.3,0.017,1,56,2.2,2089,0,0,1,,4,0,350,447.4,163.2,106,71.8,0,13,0.2
Gomez,LIV,4.8,0.01,0.5,55,3.4,1059,0,0,0,,2,0,268,209.8,92.1,44,34.7,0,11.5,0.1
Valery,SOU,4.1,0.041,1.5,54,2.3,1709,2,0,1,,3,1,251,329.4,124.7,157,60.7,1,13.2,0.4
Manquillo,NEW,4.3,0.003,2,53,2.9,1098,0,0,3,,2,0,231,231,127.3,28,38.8,1,12.3,0.5
Bryan,FUL,4.8,0.002,0.5,52,1.9,2344,0,1,1,,5,0,397,469.2,385.4,226,108.1,0,10.8,0.1
Ream,FUL,4.2,0.003,1,50,1.9,2046,0,0,0,,1,0,349,331.6,46.3,3,38.3,2,11.9,0.2
Hadergjonaj,HUD,4.3,0.001,0,50,2.1,1837,0,0,0,,1,0,307,286.8,395.7,80,76.2,0,11.6,0
Vestergaard,SOU,4.6,0.002,0,50,2.2,2027,0,0,0,,2,0,396,576.6,76.6,104,75.9,0,10.9,0
Janmaat,WAT,4.9,0.004,0,50,2.8,1520,0,0,2,,3,0,274,346.2,212.2,118,67.8,0,10.2,0
Löwe,HUD,4.4,0.001,1,49,1.7,2052,0,0,4,,2,0,313,325.8,379.9,183,88.8,0,11.1,0.2
Durm,HUD,4.4,0.001,0.5,49,1.8,2049,0,0,1,,0,0,297,281.8,209.2,114,60.7,1,11.1,0.1
Bednarek,SOU,4,0.074,1.5,49,2,2150,0,0,1,,7,0,365,616,108.8,91,81.9,0,12.3,0.4
Bong,BHA,4.4,0.001,0,48,2.2,1805,0,0,0,,0,0,254,220,153.3,8,38,0,10.9,0
Ogbonna,WHU,4.2,0.008,0,48,2,1871,1,0,1,,2,0,314,462.4,54.2,168,68.5,1,11.4,0
Fernández,NEW,4.4,0.002,0.5,47,2.5,1482,0,0,2,,2,0,277,350,63.7,70,48.5,0,10.7,0.1
Stephens,SOU,4.2,0.003,1.5,47,2,1697,1,0,0,,4,0,282,394.4,65.5,143,60.4,1,11.2,0.4
Saïss,WOL,4.2,0.004,0,47,2.5,1142,2,0,0,,7,0,248,363.6,70.9,129,56.2,1,11.2,0
Bruno,BHA,4.4,0.003,1,46,3.3,1131,0,0,1,,2,0,229,181.6,102,14,29.8,1,10.5,0.2
Danilo,MCI,4.8,0.006,0.5,46,4.2,805,1,0,0,,1,0,202,165.2,118,99,38.2,1,9.6,0.1
Montoya,BHA,4.3,0.002,0.5,45,1.8,2166,0,0,1,,4,0,351,437.6,289.2,58,78.6,0,10.5,0.1
Daniels,BOU,4.1,0.032,0,44,2.1,1583,1,0,0,,4,0,278,289.8,215.4,156,66.2,1,10.7,0
Odoi,FUL,4.4,0.001,0,44,1.4,2593,0,1,1,,4,0,427,575.2,164.2,93,83.5,0,10,0
Yoshida,SOU,4.1,0.011,0,44,2.6,1518,0,0,1,,0,0,278,387,57.4,189,63.4,0,10.7,0
Peltier,CAR,3.9,0.04,3.5,43,2.1,1542,0,0,0,,4,0,232,267.2,49.5,15,33.1,1,11,0.9
Jones,MUN,5.1,0.005,1,43,2.4,1261,0,0,1,,1,0,273,300.8,44.8,42,39,1,8.4,0.2
Christie,FUL,4.2,0.002,1,42,1.5,1941,0,0,1,,7,0,278,423.2,293.1,107,82.2,1,10,0.2
Clark,NEW,4.5,0.002,0,42,3.8,857,3,0,0,,1,0,194,293.2,25,105,42.6,1,9.3,0
Francis,BOU,4.3,0.002,0,40,2.4,1227,0,0,2,,1,0,244,332.4,173.3,39,54.4,0,9.3,0
Bernardo,BHA,4.2,0.001,1,39,1.8,1749,0,0,1,,4,0,290,444.2,172.6,83,70,0,9.3,0.2
Le Marchand,FUL,4.2,0.002,0.5,38,1.5,2250,0,0,1,,5,0,409,577.8,131.7,99,81.2,0,9,0.1
Fredericks,WHU,4.5,0.003,7.5,38,2.5,1084,1,0,0,,5,0,169,254.8,77.2,85,42,2,8.4,1.7
Mina,EVE,5.4,0.005,0.5,36,2.8,891,1,0,0,,3,0,176,198.2,37.5,61,29.6,0,6.7,0.1
Targett,SOU,4.2,0.001,0.5,36,2.3,1185,1,0,3,,2,0,229,314.2,366.8,181,86.2,0,8.6,0.1
Kabasele,WAT,4.4,0.003,0.5,36,1.7,1584,0,0,0,,2,1,212,355.2,24,189,56.7,0,8.2,0.1
Lejeune,NEW,4.4,0.001,0,35,2.9,1054,0,0,0,,0,0,209,211.6,82.5,59,35.3,0,8,0
Foyth,TOT,5,0.002,-1,35,2.9,888,1,0,0,,3,1,172,248.6,59.8,53,36.3,1,7,-0.2
Clyne,BOU,4.4,0.006,4.5,34,1.9,1250,0,0,1,,2,0,201,199.4,100.2,72,36.9,0,7.7,1
Lowton,BUR,4.6,0.002,0.5,34,1.6,1748,0,0,0,,7,0,269,338,158.6,48,54.6,0,7.4,0.1
Cresswell,WHU,5,0.005,0,34,1.7,1588,0,0,1,,1,0,257,318.2,290.9,113,72.3,0,6.8,0
Bardsley,BUR,4.2,0.001,0,33,1.7,1670,0,1,0,,9,0,224,267.8,139.6,66,47.4,0,7.9,0
Delph,MCI,5.3,0.003,0,29,2.6,722,0,0,1,,1,1,186,153.8,97.8,24,27.5,0,5.5,0
Walker-Peters,TOT,4.2,0.007,0.5,28,4.7,374,0,0,3,,1,0,112,107.4,104.9,20,23.1,1,6.7,0.1
Mepham,BOU,4.5,0.001,2,27,2.1,848,0,0,1,,1,0,158,177.2,24.1,22,22.5,0,6,0.4
Dalot,MUN,5.3,0.002,1,27,1.7,1009,0,0,2,,3,0,171,184.4,259,94,53.7,0,5.1,0.2
Kelly,CRY,3.9,0.05,0,26,2,1110,0,1,0,,2,0,166,269.8,17.1,34,32.2,0,6.7,0
Masina,WAT,4.3,0.001,0,26,1.9,1002,0,0,1,,5,0,165,201,70.8,27,30.1,0,6,0
Holding,ARS,4.3,0.004,0,24,2.4,806,0,0,0,,1,0,148,187.8,28.7,14,23.2,0,5.6,0
Stankovic,HUD,3.9,0.029,1,24,2.2,715,1,0,0,,2,0,127,166.6,28.2,101,29.5,0,6.2,0.3
Aurier,TOT,5.7,0.005,0,24,3,562,0,0,2,,1,0,116,151.6,108.4,45,30.5,0,4.2,0
Vinagre,WOL,4.3,0.001,1,24,1.4,703,0,0,0,,1,0,118,117,113.7,69,30,0,5.6,0.2
Dann,CRY,4.4,0.001,0.5,23,2.3,661,0,0,1,,1,0,129,186.2,22.5,71,28.1,0,5.2,0.1
Christensen,CHE,5,0.004,3,22,2.8,615,0,0,0,,1,0,133,120.6,8.4,6,13.6,0,4.4,0.6
Emerson,CHE,5.2,0.002,0,22,2.2,660,0,0,0,,0,0,130,104.6,113.8,81,30,0,4.2,0
Jagielka,EVE,4.3,0.006,0.5,22,3.1,329,1,0,0,,0,1,80,82.2,21.4,43,14.6,1,5.1,0.1
Kenny,EVE,4.1,0.002,0,19,1.9,789,0,0,1,,1,0,134,166.2,102.7,12,28,0,4.6,0
Mawson,FUL,4.7,0.001,0,19,1.3,1130,0,0,0,,2,0,174,259.2,23.2,31,31.3,0,4,0
Bacuna,CAR,4.3,0,4.5,17,1.5,554,0,0,1,,2,0,81,69,30.2,22,12,0,4,1
Valencia,MUN,6.4,0.007,0.5,17,2.8,466,0,0,0,,2,0,92,61.4,111.2,6,17.9,0,2.7,0.1
Long,BUR,4.1,0.003,0,16,2.7,513,0,0,1,,0,0,101,147.8,11.6,8,16.8,0,3.9,0
Bailly,MUN,5,0.013,0,16,1.3,636,0,0,0,,0,1,109,125,3.4,35,16.5,0,3.2,0
Balogun,BHA,4.2,0.001,0,15,1.9,591,1,0,0,,2,0,86,134,1.1,27,16.2,1,3.6,0
Lichtsteiner,ARS,4.5,0.008,1.5,14,1,935,0,0,0,,3,0,89,113,61.1,23,20,0,3.1,0.3
Fosu-Mensah,FUL,4.5,0.003,0,14,1.2,791,0,1,0,,3,0,119,136.4,100.3,28,26.4,0,3.1,0
Darmian,MUN,4.6,0.002,0,14,2.3,443,0,0,0,,0,0,83,84.2,34.9,7,12.6,0,3,0
Ward,CRY,4.3,0.002,1,13,2.3,551,1,0,0,,1,0,68,131.8,28.9,43,20.5,0,3,0.2
Simpson,LEI,4.2,0.002,0.5,12,2,401,0,1,0,,0,0,73,85.4,13.2,21,11,0,2.9,0.5
Simpson,BOU,3.9,0.061,2,10,2,401,0,1,0,,0,0,73,85.4,13.2,21,11,0,2.9,0.5
Cunningham,CAR,4.1,0,0,9,1.3,630,0,0,0,,3,0,72,106.4,69.7,19,19.6,0,2.2,0
Zappacosta,CHE,5,0.001,3,9,2.3,125,0,0,0,,0,0,30,17.4,14.7,29,6.1,0,1.8,0.6
Smith,HUD,4.4,0.001,1.5,9,0.6,1141,0,0,0,,2,1,141,161.4,116.2,36,31.5,0,2,0.3
Söyüncü,LEI,4.8,0,0,9,1.5,371,0,0,0,,1,0,48,76.6,6.8,22,10.6,0,1.9,0
Rico,BOU,4.1,0,0,8,0.7,606,0,0,0,,1,0,89,107.4,171.6,36,31.4,0,2,0
Nordtveit,FUL,4.5,0,0,8,1.6,361,0,0,1,,0,0,70,93,31.4,0,12.4,0,1.8,0
Ward,BUR,4.7,0.005,0,7,2.3,551,1,0,0,,1,0,68,131.8,28.9,43,20.5,0,3,0.2
Baines,EVE,5,0.005,0,7,1.2,374,0,0,0,,0,0,48,48.4,91.4,15,15.4,0,1.4,0
Gibson,BUR,4.8,0.001,0,6,6,62,1,0,0,,1,0,17,42.4,0.4,33,7.6,0,1.3,0
Jenkinson,ARS,4.5,0,0,4,1.3,165,0,0,0,,0,0,16,26.8,16.9,8,5.2,0,0.9,0
Moreno,LIV,4.1,0.002,0,4,2,154,0,0,0,,0,0,24,20,42,5,6.7,0,1,0
Mavropanos,ARS,4.7,0.001,0.5,3,0.8,147,0,0,0,,1,0,28,27,14.1,10,5.2,0,0.6,0.1
